 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  1; 20;  1.0000; 78.0000;    19;     0;     0;     0;    19;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;0.999954;0.999954;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 21;  1.0000; 82.0000;    21;     0;     0;     0;    21;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 22;  1.0000; 86.0000;    24;     0;     0;     0;    24;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 23;  1.0000; 90.0000;    17;     2;     0;     0;    19;0.000347;0.000041;0.000388;1.000000;0.894737;0.894737;1.000000;0.999757;0.999757;0.038777;0.034695;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000185;0.000186;0.000000;0.000185;0.000186
 All;  1; 24;  1.0000; 94.0000;    17;     3;     0;     0;    20;0.000330;0.000058;0.000388;1.000000;0.850000;0.850000;1.000000;0.999644;0.999644;0.038777;0.032961;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000176;0.000176;0.000000;0.000176;0.000176
 All;  1; 25;  1.0000; 98.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 26;  1.0000;102.0000;    22;     0;     0;     0;    22;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 27;  1.0000;106.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 28;  1.0000;110.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;0.999972;0.999972;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 29;  1.0000;114.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 30;  1.0000;118.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 31;  1.0000;122.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;0.999880;0.999880;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 32;  1.0000;126.0000;    16;     8;     0;     0;    24;0.000259;0.000129;0.000388;1.000000;0.666667;0.666667;1.000000;0.999794;0.999794;0.038777;0.025851;0.000014;0.000006;0.000000;0.000207;0.000208;0.000000;0.000138;0.000138;0.000000;0.000138;0.000138
 All;  1; 33;  1.0000;130.0000;    16;     8;     0;     0;    24;0.000259;0.000129;0.000388;1.000000;0.666667;0.666667;1.000000;1.000000;1.000000;0.038777;0.025851;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000138;0.000138;0.000000;0.000138;0.000138
 All;  1; 34;  1.0000;134.0000;    16;     5;     0;     0;    21;0.000295;0.000092;0.000388;1.000000;0.761905;0.761905;1.000000;1.000000;1.000000;0.038777;0.029545;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000158;0.000158;0.000000;0.000158;0.000158
 All;  1; 35;  1.0000;138.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 36;  1.0000;142.0000;    19;     1;     0;     0;    20;0.000368;0.000019;0.000388;1.000000;0.950000;0.950000;1.000000;1.000000;1.000000;0.038777;0.036838;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000197;0.000197;0.000000;0.000197;0.000197
 All;  1; 37;  1.0000;146.0000;    18;     2;     0;     0;    20;0.000349;0.000039;0.000388;1.000000;0.900000;0.900000;1.000000;1.000000;1.000000;0.038777;0.034899;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000187;0.000187;0.000000;0.000187;0.000187
 All;  1; 38;  1.0000;150.0000;    20;     1;     0;     0;    21;0.000369;0.000018;0.000388;1.000000;0.952381;0.952381;1.000000;1.000000;1.000000;0.038777;0.036931;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000197;0.000197;0.000000;0.000197;0.000197
 All;  1; 39;  1.0000;154.0000;    18;     2;     0;     0;    20;0.000349;0.000039;0.000388;1.000000;0.900000;0.900000;1.000000;1.000000;1.000000;0.038777;0.034899;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000187;0.000187;0.000000;0.000187;0.000187
 All;  1; 40;  1.0000;158.0000;    18;     3;     0;     0;    21;0.000332;0.000055;0.000388;1.000000;0.857143;0.857143;1.000000;1.000000;1.000000;0.038777;0.033238;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000178;0.000178;0.000000;0.000178;0.000178
 All;  1; 41;  1.0000;162.0000;    17;     3;     0;     0;    20;0.000330;0.000058;0.000388;1.000000;0.850000;0.850000;1.000000;1.000000;1.000000;0.038777;0.032961;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000176;0.000176;0.000000;0.000176;0.000176
 All;  1; 42;  1.0000;166.0000;    19;     2;     0;     0;    21;0.000351;0.000037;0.000388;1.000000;0.904762;0.904762;1.000000;1.000000;1.000000;0.038777;0.035084;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000188;0.000188;0.000000;0.000188;0.000188
 All;  1; 43;  1.0000;170.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 44;  1.0000;174.0000;    22;     0;     0;     0;    22;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 45;  1.0000;178.0000;    18;     1;     0;     0;    19;0.000367;0.000020;0.000388;1.000000;0.947368;0.947368;1.000000;1.000000;1.000000;0.038777;0.036736;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000196;0.000196;0.000000;0.000196;0.000196
 All;  1; 46;  1.0000;182.0000;    17;     6;     0;     0;    23;0.000287;0.000101;0.000388;1.000000;0.739130;0.739130;1.000000;1.000000;1.000000;0.038777;0.028661;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000153;0.000153;0.000000;0.000153;0.000153
 All;  1; 47;  1.0000;186.0000;    16;     3;     0;     0;    19;0.000327;0.000061;0.000388;1.000000;0.842105;0.842105;1.000000;1.000000;1.000000;0.038777;0.032654;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000175;0.000175;0.000000;0.000175;0.000175
 All;  1; 48;  1.0000;190.0000;    21;     0;     0;     0;    21;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 49;  1.0000;194.0000;    20;     1;     0;     0;    21;0.000369;0.000018;0.000388;1.000000;0.952381;0.952381;1.000000;1.000000;1.000000;0.038777;0.036931;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000197;0.000197;0.000000;0.000197;0.000197
